target_file,vuln_file,patch_file,datail,predict
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_get_alloc@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_get_alloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_get_alloc_NEW.vul,"[True, True, True, 0.8548387096774194, 0.8401162790697675]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_internal_get_pubnames_like_data@@@src@#@lib@#@libdwarf@#@dwarf_global.c,./cache/old_new_funcs/vul/sample/CVE-2022-32200_CWE-XXXX-XXXX_8151575a6ace77d005ca5bb5d71c1bfdba3f7069_CVE-2022-32200_8151575a6ace77d005ca5bb5d71c1bfdba3f7069_dwarf_global.c_1.1__dwarf_internal_get_pubnames_like_data_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-32200_CWE-XXXX-XXXX_8151575a6ace77d005ca5bb5d71c1bfdba3f7069_CVE-2022-32200_8151575a6ace77d005ca5bb5d71c1bfdba3f7069_dwarf_global.c_1.1__dwarf_internal_get_pubnames_like_data_NEW.vul,"[True, True, True, 0.9797413793103448, 0.8800155823918971]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_get_alloc@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_get_alloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_get_alloc_NEW.vul,"[True, True, True, 0.8548387096774194, 0.8401162790697675]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/dwarf_dealloc@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1_dwarf_dealloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1_dwarf_dealloc_NEW.vul,"[True, 'no del line', True, True, 0.8313120176405733, 0.8125]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/dwarf_dealloc@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1_dwarf_dealloc_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1_dwarf_dealloc_NEW.vul,"[True, 'no del line', True, True, 0.8313120176405733, 0.8125]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_destructor@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_NEW.vul,"[True, 'no del line', True, True, 0.9652173913043478, 0.8870967741935484]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_destructor@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_NEW.vul,"[True, 'no del line', True, True, 0.9652173913043478, 0.8870967741935484]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/dwarf_global_formref_b@@@src@#@lib@#@libdwarf@#@dwarf_form.c,./cache/old_new_funcs/vul/sample/CVE-2022-34299_CWE-XXXX-XXXX_7ef09e1fc9ba07653dd078edb2408631c7969162_CVE-2022-34299_7ef09e1fc9ba07653dd078edb2408631c7969162_dwarf_form.c_1.1_dwarf_global_formref_b_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-34299_CWE-XXXX-XXXX_7ef09e1fc9ba07653dd078edb2408631c7969162_CVE-2022-34299_7ef09e1fc9ba07653dd078edb2408631c7969162_dwarf_form.c_1.1_dwarf_global_formref_b_NEW.vul,"[True, 'no del line', True, True, 0.9964881474978051, 0.9448160535117057]",True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_destructor@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_NEW.vul,['no vuln_file emb'],True
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_string@@@src@#@lib@#@libdwarf@#@dwarf_error.c,./cache/old_new_funcs/vul/sample/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_error.c_1.1__dwarf_error_string_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_error.c_1.1__dwarf_error_string_NEW.vul,[False],False
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_string@@@src@#@lib@#@libdwarf@#@dwarf_error.c,./cache/old_new_funcs/vul/sample/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_error.c_1.1__dwarf_error_string_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-31745_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-31745_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_error.c_1.1__dwarf_error_string_NEW.vul,[False],False
./processed/davea42@@libdwarf-code-libdwarf-0.1.1/_dwarf_error_destructor@@@src@#@lib@#@libdwarf@#@dwarf_alloc.c,./cache/old_new_funcs/vul/sample/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2024-2002_CWE-XXXX-XXXX_404e6b1b14f60c81388d50b4239f81d461b3c3ad_CVE-2024-2002_404e6b1b14f60c81388d50b4239f81d461b3c3ad_dwarf_alloc.c_1.1__dwarf_error_destructor_NEW.vul,['no vuln_file emb'],True
